file_name	mention_text	candidate_entity_iri	candidate_entity_label	candidate_entity_aliases	confidence
PMC7034979	1A	FBbt:00100416	larval antennal lobe glomerulus 1a	larval antennal lobe glomerulus 1a,1a,FBbt:00100416	1
PMC7034979	1C	FBbt:00015048	central domain of larval A1 neuromere	central domain of larval A1 neuromere,A1c,FBbt:00015048,central neuropil of larval abdominal segment 1,central neuropil of larval segment A1,larval central abdominal ganglion A1	0.8548107147216796875
PMC7034979	1C	FBbt:00047055	mushroom body core layer of alpha lobe slice 1	mushroom body core layer of alpha lobe slice 1,a1c,FBbt:00047055,alpha1c	0.8548107147216796875
PMC7034979	1L	FBbt:00110827	dorsal lateral bristle of antennal segment 1	dorsal lateral bristle of antennal segment 1,A1L,FBbt:00110827	0.867370188236236572265625
PMC7034979	3C	FBbt:00051291	adult lateral accessory lobe-fan-shaped body layer 3 neuron	adult lateral accessory lobe-fan-shaped body layer 3 neuron,adult lateral accessory lobe fan shaped body layer 3,adult lateral accessory lobe-fan-shaped body layer 3,adult lateral accessory lobe fan shaped body layer 3 neuron,FB3C,FBbt:00051291,IMPL-F,IMPL F,LAL.s-IMP-FBl3.b,LAL.s IMP FBl3.b,LALSMPFB3	0.95918643474578857421875
PMC7034979	ACh	FBbt:00110651	anterior chiasma of the central complex	anterior chiasma of the central complex,ACH,FBbt:00110651,FBapl,anterior chiasm of the central complex,anterior plexus of fan-shaped body,anterior plexus of fan shaped body	1
PMC7034979	adult	FBbt:00003004	adult	adult,imago,FBbt:00003004	1
PMC7034979	adult	FBbt:00005821	adult neuromuscular junction	adult neuromuscular junction,adult NMJ,FBbt:00005821	1
PMC7034979	adult	FBbt:00047095	adult neuron	adult neuron,adult,FBbt:00047095	1
PMC7034979	adult	FBbt:00047207	adult midgut-hindgut hybrid zone	adult midgut hindgut hybrid zone,adult midgut-hindgut hybrid zone,HPZ,FBbt:00047207,adult HZ,adult Wg ring,adult midgut-hindgut boundary,adult midgut hindgut boundary,anterior SCZ,anterior spindle cell zone,hindgut proliferation zone,midgut/hindgut imaginal ring	1
