	KEY.RESOURCES.TABLE.subheading	KEY.RESOURCES.TABLE.REAGENT.or.RESOURCE	KEY.RESOURCES.TABLE.SOURCE	KEY.RESOURCES.TABLE.IDENTIFIER
1	Antibodies	Mouse monoclonal anti-nc82	University of Iowa Developmental Studies Hybridoma Bank	RRID: AB_2314866
2	Antibodies	Mouse monoclonal anti-GFP-20	Sigma-Aldrich	RRID: AB_259941
3	Antibodies	Alexa Fluor 488 goat polyclonal anti-mouse IgG	Thermal Fisher	RRID: AB_2576217
4	Antibodies	Alexa Fluor 633 goat polyclonal anti-mouse IgG	Thermal Fisher	RRID: AB_2535719
5	Chemicals, Peptides, and Recombinant Proteins	Normal Goat Serum	Jackson ImmunoResearch Laboratories	RRID: AB_2336990
6	Chemicals, Peptides, and Recombinant Proteins	VECTASHIELD mounting medium	Vector Laboratories Inc.	REF#H-1000
7	Chemicals, Peptides, and Recombinant Proteins	10X phosphate bovine saline	Sigma-Aldrich	Cat#P5493
8	Chemicals, Peptides, and Recombinant Proteins	Triton X-100	Sigma-Aldrich	Cat#T8787
9	Chemicals, Peptides, and Recombinant Proteins	Paraformaldehyde	Electron Microscopy Sciences	Cat#15710
10	Chemicals, Peptides, and Recombinant Proteins	Collagenase	Sigma-Aldrich	Cat#C5138
11	Chemicals, Peptides, and Recombinant Proteins	TexasRed dye	Thermo-Fisher	REF#D3328
12	Chemicals, Peptides, and Recombinant Proteins	MgCl2 solution (1M in H2O)	Sigma-Aldrich	Cat#63069
13	Chemicals, Peptides, and Recombinant Proteins	CaCl2 solution (1M in H2O)	Sigma-Aldrich	Cat#21115
14	Chemicals, Peptides, and Recombinant Proteins	NaOH solution (10M in H2O)	Sigma-Aldrich	Cat#72068
15	Chemicals, Peptides, and Recombinant Proteins	NaCl	Sigma-Aldrich	Cat#S7653
16	Chemicals, Peptides, and Recombinant Proteins	KCl	Sigma-Aldrich	Cat#P5405
17	Chemicals, Peptides, and Recombinant Proteins	HEPES	Sigma-Aldrich	Cat#H3375
18	Chemicals, Peptides, and Recombinant Proteins	Trehalose	Sigma-Aldrich	Cat#T0167
19	Chemicals, Peptides, and Recombinant Proteins	Sucrose	Sigma-Aldrich	Cat#S1888
20	Chemicals, Peptides, and Recombinant Proteins	NaHCO3	Sigma-Aldrich	Cat#S5761
21	Chemicals, Peptides, and Recombinant Proteins	NaH2PO4	Sigma-Aldrich	Cat#S5011
22	Experimental Models: Organisms/Strains	D. melanogaster: yw;N-Synaptobrevin-GAL42.1;;	Aso et al., 2014	N/A
23	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R11F07-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 39414
24	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R11F08-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 48467
25	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R12C04-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 48494
26	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R19H07-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 48867
27	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R20G07-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 48613
28	Experimental Models: Organisms/Strains	D. melanogaster: y1w1118;;R30E11-GAL4attP2;	Bloomington Drosophila Stock Center	BDSC: 48100
