text,label,NLP,,
P1,adult fruitless P1 (male) neuron,Y,,
ruitless-expressing neural circuit,fruitless expressing neuron,N,Does have various more specific,
dsk neurons,adult Drosulfakinin neuron,Y,,32 peptidergic neuron GAL4s in fig 1
dsx neurons,adult doublesex neuron,Y,,Can we use ref for terms to add?
DN1,DN1 neuron,Y,,Chosing adult over generic
SIFamide neuron,adult SIFamide cell of pars intercerebralis,Y,,
CrzGAL4 neurons,corazonin neuron,N,,
MP1,adult Drosulfakinin MP1 neuron,N,was Y,
MP3,adult Drosulfakinin MP3 neuron,N,was Y,
IPCs,insulin secreting cell of pars intercerebralis,N,,
MP1a,adult Drosulfakinin MP1a neuron,N,,
MP1b,adult Drosulfakinin MP1b neuron,N,,
pC1,adult doublesex pC1 (female) neuron,Y,,
pCd,adult doublesex pCd (female) neuron,Y,,
pC2,adult doublesex pC2 (female) neuron,Y,,
peptidergic neurons,peptidergic neuron,Y,,
,,,,
Not neurons:,,,,
dopaminergic,adult dopaminergic neuron,Y,,
Myoinhibitory-peptide,myoinhibitory peptide neuron,Y,,
,,,,
,,,,
,,,,
,Notes- adult/not,,,
,,,,
BROAD TERMS,,,,
sensory neurons,,,,
interneurons,,,,
motor neurons,,,,
VNC neurons,,,,
