text,label,NLP,,
astA,allatostatin A neuron,Y,,
AstC,allatostatin C neuron,Y,,
C2,centrifugal neuron C2,Y,,
C3,centrifugal neuron C3,Y,,
Chat,adult cholinergic neuron,Y,,
Crz,adult corazonin neuron,Y,,
Dm1,distal medullary amacrine neuron Dm1,Y,,
Dm2,distal medullary amacrine neuron Dm2,Y,,
Dm3,distal medullary amacrine neuron Dm3,Y,,
Dm4,distal medullary amacrine neuron Dm4,Y,,
Dm8,distal medullary amacrine neuron Dm8,Y,,
Dm10,distal medullary amacrine neuron Dm10,Y,,
Dm11,distal medullary amacrine neuron Dm11,Y,,
Dm12,distal medullary amacrine neuron Dm12,Y,,
Dm9,distal medullary amacrine neuron Dm9,Y,,
Dopaminergic,adult dopaminergic neuron,Y,,
Gad1,adult glutamatergic neuron,Y,,
Gabaergic,adult GABAergic neuron,Y,,
histaminergic,adult histaminergic neuron,Y,,
Kenyon Cells,Kenyon cell,Y,should be adult?,
L1,lamina monopolar neuron L1,Y,,
L2,lamina monopolar neuron L2,Y,,
L3,lamina monopolar neuron L3,N,Was Y,
L4,lamina monopolar neuron L4,N,,
L5,lamina monopolar neuron L5,Y,,
lai,lamina intrinsic neuron,Y,,
Lawf1,lamina wide-field 1 neuron,Y,,
Lawf2,lamina wide-field 2 neuron,Y,,
LC4,lobula columnar neuron LC4,Y,,
LPCL2,obula plate-lobula columnar neuron LPLC2,Y,,
LPLC1,lobula plate-lobula columnar neuron LPLC1,Y,,
mi1,medullary intrinsic neuron Mi1,Y,,
mi15,medullary intrinsic neuron Mi15,Y,,
Mi4,medullary intrinsic neuron Mi4,Y,,
mi9,medullary intrinsic neuron Mi9,Y,,
npf,adult NPF neuron,Y,,
pdf,Pdf neuron,Y,,
Olfactory Projection,adult olfactory projection neuron,Y,,
photoreceptor neurons,photoreceptor neuron,Y,,
pigment cell,pigment cell,Y,was Y,
Pm3,proximal medullary amacrine neuron Pm3,Y,,
Pm4,proximal medullary amacrine neuron Pm4,Y,,
R1,photoreceptor cell R1,N,these are all under 1-6,
R2,photoreceptor cell R2,N,,
R3,photoreceptor cell R3,N,,
R4,photoreceptor cell R4,N,,
R5,photoreceptor cell R5,N,,
R6,photoreceptor cell R6,N,,
R7,photoreceptor cell R7,Y,,
R8-Rh5,photoreceptor cell R8,Y,,
R8-Rh6,photoreceptor cell R8,Y,,
T1,columnar neuron T1,N,Y,
T2,columnar neuron T2,N,miss,
T3,columnar neuron T3,N,miss,
T4,T neuron T4,Y,,
T4a,T neuron T4a,Y,,Cell types in fig 1
T4b,T neuron T4b,Y,,All cell types in text in supp 1 - some are not in the main text
T4c,T neuron T4c,N,,Issue when term can match more - synonyms
T4d,T neuron T4d,N,,
T5,T neuron T5,Y,,
T5a,T neuron T5a,Y,,
T5b,T neuron T5b,Y,,
T5c,T neuron T5c,N,was in prev,
T5d,T neuron T5d,N,was in prev,
Tm1,transmedullary neuron Tm1,Y,,
Tm2,transmedullary neuron Tm2,Y,,
Tm20,transmedullary neuron Tm20,Y,,
Tm29,transmedullary neuron Tm29,Y,,
Tm3,transmedullary neuron Tm3a/b,Y,no tm3 in fbbt,
Tm4,transmedullary neuron Tm4,Y,,
Tm9,transmedullary neuron Tm9,Y,,
TmY14,transmedullary Y neuron TmY14,Y,,
TmY5a,transmedullary Y neuron TmY5a,Y,,
visual system neurons,visual system neuron,Y,,
,,,,
,Proportion of true positives identified,81.33333333,,
,Proportion of results which are false positive,93.83606557,,
,,,,
BROAD TERMS,,,,
gial,,,,
