text,label,NLP
Moonwalker Descending Neurons,adult moonwalker descending neuron,Y
LBL40,adult LBL40 neuron of ventral nerve cord,Y
LUL130,adult LUL130 neuron of ventral nerve cord,Y
leg motor circuits,leg muscle motor neuron,Y
descending inputs,adult descending neuron,Y
MF25 neuron,adult LBA22 neuron of ventral nerve cord,Y
MF14 neuron,adult LUL152 neuron of ventral nerve cord,Y
LUM9,adult LUM9 neuron of ventral nerve cord,Y
MAN,adult moonwalker ascending neuron,Y
MF13,adult LBL52 neuron of ventral nerve cord,Y
MF10,adult LUL173 neuron of ventral nerve cord,Y
MF11,adult LUL141 neuron of ventral nerve cord,Y
MF12,adult LBL9 neuron of ventral nerve cord,Y
MF14,adult LUL152 neuron of ventral nerve cord,Y
MF18,adult LUI14 neuron of ventral nerve cord,Y
MF25,adult LBA22 neuron of ventral nerve cord,Y
glutamatergic neurons,adult glutamatergic neuron,Y
