text,label,NLP,,
photoreceptor neurons,photoreceptor neuron,Y,,
T4,T neuron T4,Y,,
T4a,T neuron T4a,Y,,Cell types in fig 1
T4b,T neuron T4b,Y,,All cell types in text in supp 1 - some are not in the main text
T4c,T neuron T4c,N,,Issue when term can match more - synonyms
T4d,T neuron T4d,N,,
T5,T neuron T5,Y,,
T5a,T neuron T5a,Y,,
T5b,T neuron T5b,Y,,
T5c,T neuron T5c,Y,,
T5d,T neuron T5d,Y,,
Kenyon Cells,Kenyon cell,70,,
C2,centrifugal neuron C2,Y,,
C3,centrifugal neuron C3,Y,,
Lawf1,lamina wide-field 1 neuron,Y,,
Lawf2,lamina wide-field 2 neuron,Y,,
LPLC1,lobula plate-lobula columnar neuron LPLC1,Y,,
LPCL2,obula plate-lobula columnar neuron LPLC2,Y,,
Tm20,transmedullary neuron Tm20,Y,,
Dm1,distal medullary amacrine neuron Dm1,mis - neuroblast,,
Dm8,distal medullary amacrine neuron Dm8,Y,,
TmY14,transmedullary Y neuron TmY14,Y,,
TmY5a,transmedullary Y neuron TmY5a,Y,,
LC4,lobula columnar neuron LC4,,,
T1,columnar neuron T1,mis - prothoracic segment,,
T2,,,,
T3,,,,
Tm1,transmedullary neuron Tm1,,,
Dm9,distal medullary amacrine neuron Dm9,mis - fascicle,,
Pm3,proximal medullary amacrine neuron Pm3,,,
R1,photoreceptor cell R1,N,,
R2,,,,
R3,,,,
R4,,,,
R5,,,,
R6,,,,
R7,photoreceptor cell R7,Y,,
R8-Rh5,photoreceptor cell R8,Y,,
R8-Rh6,photoreceptor cell R8,Y,,
Dm11,,,,
Mi4,,,,
Tm2,transmedullary neuron Tm2,Y,,
mi15,,,,
Chat,,,,
Vglut,,,,
Pm4,proximal medullary amacrine neuron Pm4,,,
Gad1,,,,
mi1,,,,
mi9,,,,
astA,,,,
AstC,,,,
pdf,,,,
L1,,,,
L2,,,,
lai,,,,
,Sensitivity strict,,,
,Sensitivity forgiving,,,
,,,,
,,,,
BROAD TERMS,,,,
gial,,,,
